psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1a,pial1b,pial1c,pial1d,pial1e,pial2a,pial2b,pial2c,pial2d,pial2e,pial3,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
100079,1,110112,36021,36,1,1,U,1,1,2,1,2,1,2,4,4,4,1,1,1, , ,2,3,2,1,68,3,2,1,6,1,3,1, ,12502,2,2,3.8,.974742156875182
100080,1,110112,29219,29,2,1,S,1,1,1,2,2,2,4,4,4,2,2,2,1, , ,3,3,2,2,63,5,2,1,8,1,2, , ,63357,2,2,2.75,.705405508264935
100081,1,110112,36107,36,1,1,S,1,2,2,2,1,1,1,4,4,4,4,2,1, , ,1,3,1,1,48,5,2,1,4,1,2, , ,14883,2,2,2,.513022187829043
100086,1,110112,34015,34,1,4,S,1,2,2,2,2,2,2,4,4,4,4,2,1, , ,3,1,1,2,35,6,2,1,5,1,3,9, ,08086,2,2,7.3,1.87253098557601
100093,1,110112,27115,27,2,1,R,1,2,2,2,2,2,2,4,4,4,4,2,1, , ,1,3,2,2,91,3,2,1,99,1,1, , ,55063,2,2,1,.256511093914522
100100,1,110112,42101,42,1,5,U,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,1,2,2,62,3,2,2,5,1,2, , ,19115,1,1,2.9,.743882172352113
100101,1,110112,5119,5,3,3,U,4,2,2,2,2,2,4,4,4,4,4,1,1, , ,1,3,2,2,69,3,2,9,3,3,4,9, ,72118,2,2,1.95,.500196633133317
100104,1,110112,37045,37,3,2,R,1,2,2,2,2,2,4,4,3,4,3,2,1, , ,2,1,1,1,53,5,2,1,7,1,2, , ,28150,2,2,3.6,.923439938092278
100105,1,110112,42071,42,1,3,S,1,1,2,2,2,2,2,4,4,4,4,2,2,2, ,1,3,2,1,84,6,2,1,2,1,1, , ,17022,1,1,2.2,.564324406611948
100107,1,110312,42043,42,1,3,S,1,1,2,2,2,2,3,4,4,4,2,1,1, , ,2,3,2,2,77,5,2,1,7,1,2, ,3,17036,2,2,2.45,.628452180090578
100108,1,110112,48339,48,3,3,S,1,1,1,1,2,1,4,4,2,4,2,1,1, , ,2,2,2,2,61,4,2,1,7,1,1, , ,77354,2,2,3.1,.795184391135017
100110,1,110112,21111,21,3,4,U,4,2,2,2,2,2,4,4,4,4,4,2,2,2, ,2,3,2,2,73,2,2,1,2,1,1, , ,40272,1,1,9.7,2.48815761097086
100113,1,110112,1023,1,3,1,R,1,1,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,2,76,3,2,1,99,1,3,9, ,36921,2,2,1,.256511093914522
100121,1,110112,36015,36,1,2,S,1,1,2,2,2,2,1,4,4,4,4,2,1, , ,2,3,2,1,78,3,2,1,3,1,2, , ,14904,2,2,4.4,1.1286488132239
100122,1,110112,35029,35,4,1,R,1,2,2,2,2,2,1,4,4,4,4,2,2,2, ,1,3,2,2,58,3,1,1,1,1,2, , ,88030,1,1,2.7,.692579953569209
100124,1,110112,39035,39,2,5,U,1,1,1,2,2,2,4,4,4,4,4,1,1, , ,1,3,2,2,76,4,2,1,99,1,3,2, ,44135,2,2,1,.256511093914522
100126,1,110112,25021,25,1,4,S,1,1,1,1,2,2,1,1,1,4,4,2,1, , ,2,3,2,2,76,8,2,1,8,1,2, , ,02492,2,2,2.8,.718231062960661
100128,1,110112,13215,13,3,3,U,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,1,1,2,53,6,2,1,7,1,1, , ,31820,2,2,1.25,.320638867393152
100143,1,110112,42033,42,1,1,R,1,1,2,2,2,2,1,1,4,4,4,1,1, , ,2,3,2,2,61,3,2,1,8,1,2, , ,16878,2,2,4.3,1.10299770383244
100144,1,110112,21001,21,3,1,R,4,2,2,2,2,2,1,1,1,1,1,1,1, , ,1,3,1,2,36,4,2,1,3,3,3,9, ,42728,2,2,1.9,.487371078437591
100152,1,110112,35001,35,4,3,U,1,1,2,2,2,2,1,4,4,4,4,2,1, , ,2,1,1,2,57,8,2,1,8,1,2, , ,87120,2,2,2.5,.641277734786304
100155,1,110112,25025,25,1,5,U,3,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,3,2,2,46,1,2,1,1,1,2, , ,02127,2,2,9.7,2.48815761097086
100157,1,110112,55111,55,2,1,R,1,2,2,2,2,2,4,4,1,4,4,1,1, , ,2,3,2,2,68,4,2,1,7,1,3,1, ,53583,2,2,1.3,.333464422088878
100161,1,110112,55017,55,2,1,S,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,3,3,1,2,47,3,2,1,99,1,1, , ,54745,2,2,4.7,1.20560214139825
100164,1,110112,35001,35,4,3,U,3,2,2,2,2,2,4,4,4,4,4,2,2,2, ,1,3,2,2,90,5,2,1,7,1,1, , ,87120,1,1,1.05,.269336648610248
100168,1,110112,12115,12,3,3,S,2,1,2,1,2,1,4,4,1,4,3,1,1, , ,2,3,2,2,60,3,2,1,6,1,1, , ,34293,2,2,4.4,1.1286488132239
100169,1,110112,17199,17,2,2,R,3,1,2,2,2,2,3,3,4,4,4,2,1, , ,1,3,2,2,63,5,2,1,2,1,2, , ,62948,2,2,1.2,.307813312697426
100170,1,110112,36047,36,1,5,U,1,2,2,2,2,2,4,4,4,4,4,2,2,1, ,3,3,2,2,74,3,2,2,3,1,2, , ,11203,1,2,6.9,1.7699265480102
100171,1,110112,47165,47,3,2,S,1,2,2,2,2,2,3,4,4,4,3,2,1, , ,3,1,2,2,35,6,2,1,6,1,3,1, ,37075,2,2,3.85,.987567711570908
100178,1,110112,50007,50,1,2,U,1,1,1,1,2,2,3,4,1,4,4,2,1, , ,2,3,2,1,67,8,2,1,6,1,3,2, ,05403,2,2,2.9,.743882172352113
100182,1,110112,9009,9,1,4,S,1,1,2,2,2,2,2,2,4,4,3,2,1, , ,2,3,1,2,41,5,2,1,7,1,3,1, ,06712,2,2,8.65,2.21882096236061
100191,1,110112,36047,36,1,5,U,2,1,1,2,2,2,1,1,4,4,4,2,1, , ,1,2,2,2,67,3,2,2,99,1,2, , ,11212,2,2,1.3,.333464422088878
100192,1,110112,49053,49,4,1,U,1,1,2,2,2,2,4,4,4,4,4,2,2,2, ,2,3,2,1,75,4,2,1,6,1,3,2, ,84790,1,1,3.1,.795184391135017
100193,1,110112,35003,35,4,1,R,2,2,2,2,2,2,4,9,8,4,4,2,9,1, ,2,1,2,1,64,6,2,1,4,1,4,9, ,87830,2,2,1.9,.487371078437591
100196,1,110112,36067,36,1,3,S,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,2,62,4,2,1,3,1,2, , ,13057,2,2,2,.513022187829043
100197,1,110112,39113,39,2,4,S,1,1,2,2,2,2,2,2,4,4,4,2,1, , ,4,1,1,1,51,6,2,1,8,1,1, , ,45458,2,2,4.15,1.06452103974527
100199,1,110112,13067,13,3,4,S,1,1,1,2,2,2,1,4,4,4,4,2,2,1, ,3,2,2,1,26,4,2,2,99,1,3,2, ,30082,1,2,9.7,2.48815761097086
100200,1,110112,31055,31,2,4,U,1,1,1,2,2,2,4,3,1,4,4,2,1, , ,2,1,1,1,36,8,1,1,9,1,1, , ,68130,2,2,4.4,1.1286488132239
100201,1,110112,13065,13,3,1,R,1,2,2,2,2,2,2,2,4,4,4,2,1, , ,2,1,1,2,31,6,2,1,9,1,1, , ,31634,2,2,2.5,.641277734786304
100205,1,110112,39037,39,2,1,R,3,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,3,1,2,47,3,2,1,3,3,2, , ,45331,2,2,3.65,.936265492788004
100214,1,110112,29095,29,2,4,S,1,1,1,1,1,1,1,4,4,4,1,1,1, , ,1,3,2,2,84,4,2,1,3,1,2, , ,64030,2,2,1.05,.269336648610248
100220,1,110112,26091,26,2,2,R,4,2,2,2,2,2,4,4,4,4,4,2,2,2, ,1,3,2,1,52,3,2,1,2,1,3,9, ,49289,1,1,2.9,.743882172352113
100222,1,110112,4019,4,4,2,R,1,1,1,1,1,2,1,1,1,1,4,2,1, , ,4,1,1,1,49,8,2,3,9,1,1, , ,85737,2,2,2.95,.756707727047839
