"","age","sex","educ","outcome"
"246",68,2,"1","A"
"247",50,2,"2","A"
"248",99,1,"3","C"
"249",59,1,"1","D"
"250",24,2,"1","A"
"251",62,2,"2","E"
"252",57,2,"2","D"
"253",60,2,"2","C"
"254",75,2,"1","A"
"255",73,1,"2","A"
"256",34,1,"2","E"
"257",60,1,"2","C"
"258",36,2,"1","C"
"259",65,1,"2","E"
"260",39,2,"3","A"
"261",79,2,"1","B"
"262",37,1,"1","A"
"263",60,1,"3","A"
"264",61,1,"2","A"
"265",81,1,"2","D"
"266",50,2,"2","C"
"267",75,1,"3","B"
"268",65,1,"2","E"
"269",70,2,"1","B"
"270",53,2,"3","E"
"271",38,2,"3","A"
"272",49,2,"2","C"
"273",66,1,"1","A"
"274",65,2,"2","B"
"275",51,2,"2","E"
"276",86,2,"1","A"
"277",29,2,"2","B"
"278",73,2,"2","E"
"279",74,1,"1","A"
"280",99,2,"2","C"
"281",63,2,"2","E"
"282",66,1,"3","B"
"283",62,2,"2","B"
"284",60,1,"3","A"
"285",62,2,"1","B"
"286",67,2,"2","E"
"287",64,2,"3","E"
"288",75,2,"1","E"
"289",65,2,"2","E"
"290",54,2,"1","A"
"291",68,2,"1","B"
"292",75,1,"1","A"
"293",34,2,"2","D"
"294",71,2,"3","A"
"295",28,2,"2","E"
"296",68,2,"3","B"
"297",70,1,"2","C"
"298",39,2,"2","E"
"299",66,1,"2","E"
"300",62,2,"3","B"
"301",30,2,"1","A"
"302",50,2,"2","B"
"303",79,1,"1","B"
"304",82,2,"2","A"
"305",43,2,"2","E"
"306",18,2,"1","A"
"307",60,2,"1","A"
"308",60,2,"1","B"
"309",62,2,"2","A"
"310",79,1,"2","A"
"311",48,2,"1","A"
"312",65,2,"3","E"
"313",48,2,"3","E"
"314",43,2,"1","A"
"315",66,1,"1","B"
"316",52,1,"2","A"
"317",59,1,"1","A"
"318",99,2,"1","A"
"319",51,2,"3","E"
"320",58,2,"2","B"
"321",57,2,"2","E"
"322",60,1,"2","D"
"323",60,1,"2","E"
"324",63,2,"2","A"
"325",65,1,"2","E"
"326",23,2,"1","E"
"327",54,2,"2","E"
"328",64,2,"3","C"
"329",79,2,"3","A"
"330",68,2,"2","C"
"331",70,2,"3","C"
"332",62,1,"2","A"
"333",49,1,"1","E"
"334",18,1,"1","E"
"335",42,1,"2","A"
"336",82,2,"1","B"
"337",62,1,"2","C"
"338",54,1,"2","C"
"339",53,1,"1","B"
"340",71,2,"3","C"
"341",65,2,"2","B"
"342",60,2,"2","E"
"343",49,2,"2","A"
"344",55,2,"3","E"
"345",68,2,"1","B"
"346",38,2,"1","E"
"347",18,2,"1","A"
"348",99,2,"3","E"
"349",37,2,"3","A"
"350",70,1,"2","A"
"351",64,1,"1","B"
"352",60,2,"3","B"
"353",59,1,"3","C"
"354",24,1,"1","A"
"355",28,1,"2","E"
"356",36,1,"3","E"
"357",18,2,"1","E"
"358",65,2,"3","E"
"359",23,2,"2","A"
"360",42,2,"2","A"
"361",46,1,"2","E"
"362",26,1,"1","B"
"363",77,1,"2","C"
"364",21,2,"2","E"
"365",53,2,"1","D"
"366",25,1,"1","A"
"367",36,2,"3","A"
"368",22,2,"2","E"
"369",51,1,"2","D"
"370",46,1,"3","B"
"371",32,2,"2","E"
"372",34,2,"2","E"
"373",74,1,"1","B"
"374",27,2,"2","E"
"375",26,1,"2","E"
"376",33,1,"3","E"
"377",55,1,"1","A"
"378",31,2,"3","E"
"379",20,2,"1","E"
"380",19,1,"1","E"
"381",30,1,"2","C"
"382",57,1,"2","C"
"383",33,1,"2","A"
"384",78,2,"2","B"
"385",30,2,"1","E"
"386",25,1,"2","E"
"387",50,2,"2","E"
"388",38,2,"3","A"
"389",55,2,"1","A"
"390",63,2,"2","A"
"391",45,1,"1","B"
"392",36,1,"3","E"
"393",33,1,"3","A"
